건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도
신축,서울특별시 서대문구 북가좌동 315-36,대,192.00 ,114.29 ,383.50 ,2021-05-17,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 북가좌동 300-19 외1필지,대,330.90 ,165.37 ,723.57 ,2021-05-13,6,1,공동주택,도시형생활주택
신축,서울특별시 서대문구 연희동 413-135,대,306.00 ,176.81 ,944.98 ,2021-05-06,5,2,공동주택,다세대주택
신축,서울특별시 서대문구 남가좌동 5-276,대,145.00 ,85.76 ,298.03 ,2021-05-04,3,1,단독주택,다중주택
신축,서울특별시 서대문구 홍제동 260-24 외1필지,대,289.69 ,170.87 ,522.89 ,2021-05-04,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 대현동 37-66 외2필지,대,258.30 ,180.17 ,1729.98 ,2021-05-03,10,1,업무시설,오피스텔
신축,서울특별시 서대문구 연희동 446-333 외1필지,대,758.00 ,394.23 ,1655.68 ,2021-04-30,2,2,단독주택,다가구주택(15가구)
신축,서울특별시 서대문구 홍은동 396-15,대,235.00 ,114.35 ,544.55 ,2021-04-28,5,1,공동주택,도시형생활주택-원룸형
신축,서울특별시 서대문구 홍은동 352-3,대,259.00 ,129.30 ,461.61 ,2021-04-28,5,0,공동주택,도시형생활주택(원룸형)
신축,서울특별시 서대문구 연희동 77-5,대,225.00 ,132.89 ,834.56 ,2021-04-28,5,2,제2종근린생활시설,사무소
신축,서울특별시 서대문구 북가좌동 345-31,대,207.80 ,123.81 ,532.72 ,2021-04-27,4,1,단독주택,다중주택
신축,서울특별시 서대문구 홍은동 414-14,대,202.30 ,117.92 ,431.90 ,2021-04-27,5,0,공동주택,공동체주택[도시형생활주택-다세대(원룸형)]
신축,서울특별시 서대문구 북가좌동 325-40,대,171.20 ,102.68 ,340.79 ,2021-04-22,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 창천동 72-32 외1필지,대,323.20 ,177.92 ,2228.88 ,2021-04-22,14,1,업무시설,"오피스텔, 근린생활시설"
신축,서울특별시 서대문구 연희동 190-21,대,140.20 ,82.41 ,209.65 ,2021-04-19,4,0,단독주택,다가구주택
신축,서울특별시 서대문구 창천동 29-72 외1필지,대,255.50 ,152.95 ,1621.64 ,2021-04-16,10,1,숙박시설,
신축,서울특별시 서대문구 창천동 428,대,203.36 ,100.60 ,347.50 ,2021-04-16,5,0,단독주택,다중주택(7실) 및 사무소(2호)
신축,서울특별시 서대문구 북가좌동 289-26,대,140.20 ,84.01 ,279.80 ,2021-04-15,5,0,단독주택,다중주택
신축,서울특별시 서대문구 대현동 27-27 외3필지,대,682.20 ,408.96 ,5825.02 ,2021-04-14,17,1,업무시설,오피스텔 및 근린생활시설
