연번,위치,규모(제곱미터),주용도,착공일,공사 종료일,데이터 기준일자
93,서울특별시 금천구 시흥1동 987-9 외2,5465.89,업무시설,2022-03-03,2024-02-20,2022-11-22
94,서울특별시 금천구 시흥1동 113-16,24483.24,공동주택,2022-02-10,2024-06-30,2022-11-22
95,서울특별시 금천구 시흥1동 108-48,1994.47,업무시설,2021-11-11,2022-09-30,2022-11-22
96,서울특별시 금천구 시흥1동 888-17,1167.58,업무시설,2021-10-25,2022-10-30,2022-11-22
97,서울특별시 금천구 시흥1동 882-44,560.49,업무시설,2021-04-09,2021-10-30,2022-11-22
98,서울특별시 금천구 시흥1동 999-50 외6,11080.58,공동주택,2021-01-22,2023-03-31,2022-11-22
99,서울특별시 금천구 시흥1동 991-5 외3,19885.16,공장,2020-05-06,2022-05-01,2022-11-22
100,서울특별시 금천구 시흥4동 790-45,260.2,단독주택,2022-10-13,,2022-11-22
101,서울특별시 금천구 시흥4동 789-48,515.9,공동주택,2022-10-19,,2022-11-22
102,서울특별시 금천구 시흥4동 169-28 외1,497.8,공동주택,2022-06-13,2022-10-28,2022-11-22
103,서울특별시 금천구 시흥5동 220-116 외2,659.09,공동주택,2022-05-16,2022-09-30,2022-11-22
104,서울특별시 금천구 시흥5동 837-33,473.02,단독주택,2022-10-18,,2022-11-22
105,서울특별시 금천구 시흥5동 910-16,456.58,공동주택,2022-09-05,,2022-11-22
106,서울특별시 금천구 시흥5동 917-2 외1필지,396.64,단독주택,2022-07-27,,2022-11-22
107,서울특별시 금천구 시흥5동 204-7 외4,674.55,공동주택,2021-08-24,2021-12-31,2022-11-22
