시도,시군구,대지위치,연면적(제곱미터),주용도,착공처리일,준공예정일(사용승인예정일)
서울특별시,강남구,서울특별시 강남구 역삼동 827-76,734,제2종근린생활시설,2022-07-12,2023-05-31
서울특별시,강남구,서울특별시 강남구 대치동 912-5,768,제2종근린생활시설,2022-07-12,2023-06-30
서울특별시,강남구,서울특별시 강남구 역삼동 781-12,439,공동주택,2022-07-11,2022-12-30
서울특별시,강남구,서울특별시 강남구 논현동 78-3,948,제2종근린생활시설,2022-07-08,2023-04-30
서울특별시,강남구,서울특별시 강남구 청담동 85-17,1228,제1종근린생활시설,2022-07-07,2023-06-25
서울특별시,강남구,서울특별시 강남구 논현동 73,493,제2종근린생활시설,2022-07-06,2023-04-15
서울특별시,강남구,서울특별시 강남구 논현동 189-12,646,공동주택,2022-07-05,2022-12-31
서울특별시,강남구,서울특별시 강남구 삼성동 62-10,826,제1종근린생활시설,2022-07-04,2023-01-31
서울특별시,강남구,서울특별시 강남구 논현동 153-9,447,단독주택,2022-07-04,2023-03-30
서울특별시,강남구,서울특별시 강남구 율현동 328-3,273,단독주택,2022-07-01,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 752-8,377,제2종근린생활시설,2022-07-01,2022-12-31
서울특별시,강남구,서울특별시 강남구 청담동 46-13,1298,제1종근린생활시설,2022-07-01,2023-04-27
서울특별시,강남구,서울특별시 강남구 청담동 44-14,4174,제2종근린생활시설,2022-06-30,2023-12-31
서울특별시,강남구,서울특별시 강남구 청담동 78-14 외1필지,3322,제2종근린생활시설,2022-06-30,2024-02-28
서울특별시,강남구,서울특별시 강남구 삼성동 32-8,537,공동주택,2022-06-30,2023-04-15
서울특별시,강남구,서울특별시 강남구 논현동 140-23,804,제2종근린생활시설,2022-06-28,2023-02-10
서울특별시,강남구,서울특별시 강남구 청담동 53-6,1165,제2종근린생활시설,2022-06-27,2023-12-30
서울특별시,강남구,서울특별시 강남구 역삼동 817-14,736,제2종근린생활시설,2022-06-27,2023-05-30
서울특별시,강남구,서울특별시 강남구 신사동 559-11,459,제2종근린생활시설,2022-06-23,2023-06-09
서울특별시,강남구,서울특별시 강남구 삼성동 119-12,638,제1종근린생활시설,2022-06-23,2023-05-31
서울특별시,강남구,서울특별시 강남구 논현동 146-6,1084,제2종근린생활시설,2022-06-23,2023-04-15
서울특별시,강남구,서울특별시 강남구 신사동 642-14,1000,제2종근린생활시설,2022-06-23,2023-03-03
서울특별시,강남구,서울특별시 강남구 청담동 88-19,737,제2종근린생활시설,2022-06-23,2023-03-30
서울특별시,강남구,서울특별시 강남구 논현동 5-8,720,제1종근린생활시설,2022-06-22,2023-03-02
서울특별시,강남구,서울특별시 강남구 논현동 262-9,854,제2종근린생활시설,2022-06-21,2023-06-14
서울특별시,강남구,서울특별시 강남구 개포동 169-8,346,공동주택,2022-06-21,2022-11-10
서울특별시,강남구,서울특별시 강남구 논현동 16-21,795,제2종근린생활시설,2022-06-20,2023-03-31
서울특별시,강남구,서울특별시 강남구 논현동 222-15,602,제2종근린생활시설,2022-06-17,2023-03-28
서울특별시,강남구,서울특별시 강남구 청담동 123-11,594,제2종근린생활시설,2022-06-17,2022-12-15
서울특별시,강남구,서울특별시 강남구 논현동 179-22,837,제2종근린생활시설,2022-06-15,2022-12-30
서울특별시,강남구,서울특별시 강남구 개포동 1216-6,430,공동주택,2022-06-14,2023-02-12
서울특별시,강남구,서울특별시 강남구 삼성동 62-17,324,단독주택,2022-06-13,2023-02-09
서울특별시,강남구,서울특별시 강남구 삼성동 41-12 외1필지,930,공동주택,2022-06-13,2023-03-30
서울특별시,강남구,서울특별시 강남구 삼성동 143-23,1998,업무시설,2022-06-08,2023-08-29
서울특별시,강남구,서울특별시 강남구 신사동 657-14,599,제2종근린생활시설,2022-06-07,2023-01-31
서울특별시,강남구,서울특별시 강남구 삼성동 93-15,638,제1종근린생활시설,2022-06-03,2022-12-31
서울특별시,강남구,서울특별시 강남구 신사동 626-48,547,제2종근린생활시설,2022-06-03,2022-12-31
서울특별시,강남구,서울특별시 강남구 역삼동 828-42,870,제2종근린생활시설,2022-05-31,2023-06-01
서울특별시,강남구,서울특별시 강남구 청담동 125-8,1529,업무시설,2022-05-31,2023-05-30
서울특별시,강남구,서울특별시 강남구 개포동 171-8,358,공동주택,2022-05-30,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 681-6,447,제2종근린생활시설,2022-05-30,2023-02-17
서울특별시,강남구,서울특별시 강남구 신사동 664-5 외2필지,3722,업무시설,2022-05-30,2023-10-31
서울특별시,강남구,서울특별시 강남구 도곡동 413 외1필지,859,공동주택,2022-05-27,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 659-11 외1필지,1768,업무시설,2022-05-27,2023-06-03
서울특별시,강남구,서울특별시 강남구 대치동 905-6,651,제2종근린생활시설,2022-05-27,2023-03-31
서울특별시,강남구,서울특별시 강남구 논현동 64-8,600,단독주택,2022-05-27,2023-04-30
서울특별시,강남구,서울특별시 강남구 논현동 157-2,679,제2종근린생활시설,2022-05-26,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 834-7 외1필지,2614,제2종근린생활시설,2022-05-26,2023-11-30
서울특별시,강남구,서울특별시 강남구 역삼동 610-9 외1필지,994,제2종근린생활시설,2022-05-24,2022-11-01
서울특별시,강남구,서울특별시 강남구 삼성동 143-11,1999,업무시설,2022-05-24,2023-07-30
서울특별시,강남구,서울특별시 강남구 역삼동 728-18,1102,제2종근린생활시설,2022-05-23,2023-06-30
서울특별시,강남구,서울특별시 강남구 논현동 80-20 외1필지,2069,제1종근린생활시설,2022-05-23,2023-09-01
서울특별시,강남구,서울특별시 강남구 논현동 217-6,457,제2종근린생활시설,2022-05-23,2023-05-14
서울특별시,강남구,서울특별시 강남구 대치동 914-3,515,단독주택,2022-05-20,2023-02-10
서울특별시,강남구,서울특별시 강남구 대치동 913-1,1083,교육연구시설,2022-05-20,2023-02-28
서울특별시,강남구,서울특별시 강남구 자곡동 223-15,375,단독주택,2022-05-20,2022-12-31
서울특별시,강남구,서울특별시 강남구 신사동 524-3,719,제1종근린생활시설,2022-05-19,2023-05-23
서울특별시,강남구,서울특별시 강남구 논현동 219-11,713,제2종근린생활시설,2022-05-19,2022-12-31
서울특별시,강남구,서울특별시 강남구 자곡동 456,200,단독주택,2022-05-18,2023-12-30
서울특별시,강남구,서울특별시 강남구 역삼동 674-42,719,제2종근린생활시설,2022-05-18,2023-04-30
서울특별시,강남구,서울특별시 강남구 신사동 561-3 외4필지,5067,공동주택,2022-05-17,2024-02-10
서울특별시,강남구,서울특별시 강남구 논현동 57-3,589,제2종근린생활시설,2022-05-16,2023-03-30
서울특별시,강남구,서울특별시 강남구 논현동 29-10,1262,제2종근린생활시설,2022-05-16,2022-06-15
서울특별시,강남구,서울특별시 강남구 논현동 29-9,1254,제2종근린생활시설,2022-05-16,2022-06-15
서울특별시,강남구,서울특별시 강남구 논현동 187-22,461,제2종근린생활시설,2022-05-16,2022-12-30
서울특별시,강남구,서울특별시 강남구 대치동 897-16,795,제2종근린생활시설,2022-05-13,2023-02-08
서울특별시,강남구,서울특별시 강남구 논현동 235-4 외1필지,2437,업무시설,2022-05-12,2023-05-30
서울특별시,강남구,서울특별시 강남구 일원동 625-14,367,공동주택,2022-05-12,2022-09-30
서울특별시,강남구,서울특별시 강남구 삼성동 37-19,3610,업무시설,2022-05-11,2023-09-30
서울특별시,강남구,서울특별시 강남구 논현동 102-5,763,제2종근린생활시설,2022-05-10,2023-04-20
서울특별시,강남구,서울특별시 강남구 율현동 102-7,1688,자동차관련시설,2022-05-10,2022-12-22
서울특별시,강남구,서울특별시 강남구 삼성동 121-1,489,제2종근린생활시설,2022-05-04,2023-05-09
서울특별시,강남구,서울특별시 강남구 논현동 115-5,735,제2종근린생활시설,2022-05-03,2022-10-20
서울특별시,강남구,서울특별시 강남구 일원동 620-5,336,공동주택,2022-04-29,2022-11-30
서울특별시,강남구,서울특별시 강남구 논현동 224-1,729,제2종근린생활시설,2022-04-27,2023-02-18
서울특별시,강남구,서울특별시 강남구 논현동 82-7 외1필지,2702,제1종근린생활시설,2022-04-26,2023-06-30
서울특별시,강남구,서울특별시 강남구 청담동 130-28,662,제2종근린생활시설,2022-04-26,2023-03-15
서울특별시,강남구,서울특별시 강남구 율현동 440,290,단독주택,2022-04-25,2022-11-10
서울특별시,강남구,서울특별시 강남구 일원동 664-5,301,공동주택,2022-04-25,2022-10-30
서울특별시,강남구,서울특별시 강남구 신사동 557-24,602,제2종근린생활시설,2022-04-22,2023-03-15
서울특별시,강남구,서울특별시 강남구 청담동 62-9,468,제2종근린생활시설,2022-04-21,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 823-5,1990,업무시설,2022-04-21,2023-11-30
서울특별시,강남구,서울특별시 강남구 역삼동 823-5,1990,업무시설,2022-04-21,2023-11-30
서울특별시,강남구,서울특별시 강남구 삼성동 117-6,681,제2종근린생활시설,2022-04-20,2023-04-10
서울특별시,강남구,서울특별시 강남구 역삼동 719-22,3641,업무시설,2022-04-20,2024-04-20
서울특별시,강남구,서울특별시 강남구 역삼동 695-29,689,제2종근린생활시설,2022-04-20,2023-03-31
서울특별시,강남구,서울특별시 강남구 대치동 915-23,602,제2종근린생활시설,2022-04-20,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 62-2,8645,업무시설,2022-04-20,2024-07-30
서울특별시,강남구,서울특별시 강남구 청담동 2-2,813,제2종근린생활시설,2022-04-19,2023-04-14
서울특별시,강남구,서울특별시 강남구 삼성동 92-1,997,제2종근린생활시설,2022-04-19,2023-01-31
서울특별시,강남구,서울특별시 강남구 논현동 73-13,569,제2종근린생활시설,2022-04-18,2023-03-31
서울특별시,강남구,서울특별시 강남구 역삼동 705-26,3181,업무시설,2022-04-15,2024-02-12
서울특별시,강남구,서울특별시 강남구 개포동 1264-13,274,공동주택,2022-04-14,2022-10-31
서울특별시,강남구,서울특별시 강남구 신사동 600-11,847,제2종근린생활시설,2022-04-14,2023-01-31
서울특별시,강남구,서울특별시 강남구 율현동 196-83,351,단독주택,2022-04-13,2022-10-30
서울특별시,강남구,서울특별시 강남구 청담동 58-2,867,제2종근린생활시설,2022-04-13,2023-04-30
서울특별시,강남구,서울특별시 강남구 논현동 270-27,568,제2종근린생활시설,2022-04-12,2022-10-30
서울특별시,강남구,서울특별시 강남구 역삼동 638-12,591,제2종근린생활시설,2022-04-12,2022-12-31
서울특별시,강남구,서울특별시 강남구 청담동 115-15,1387,제2종근린생활시설,2022-04-11,2023-03-31
서울특별시,강남구,서울특별시 강남구 청담동 20-11 외1필지,1327,제2종근린생활시설,2022-04-11,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 217-21,458,제2종근린생활시설,2022-04-11,2022-12-04
서울특별시,강남구,서울특별시 강남구 논현동 254-8,717,제2종근린생활시설,2022-04-06,2022-10-31
서울특별시,강남구,서울특별시 강남구 대치동 1019-2,1156,교육연구시설,2022-04-06,2022-12-30
서울특별시,강남구,서울특별시 강남구 역삼동 609-11,317,제1종근린생활시설,2022-04-05,2022-08-31
서울특별시,강남구,서울특별시 강남구 역삼동 624-8,700,제1종근린생활시설,2022-04-04,2023-04-15
