건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일자
신축,서울특별시 은평구 응암동 590-25 외1필지,대,237.4,142.27,778.92,2021-08-18,2021-11-02,,8,0,공동주택,원룸형도시형생활주택,2022-10-07
신축,서울특별시 은평구 구산동 177-19,대,167.83,99.87,442.86,2021-07-30,2021-12-02,,4,1,공동주택,다새대주택,2022-10-07
신축,서울특별시 은평구 신사동 28-2 외1필지,대,285.3,171.04,600.19,2021-07-02,2022-08-05,,6,1,공동주택,다세대주택(도시형생활주택단지형다세대주택),2022-10-07
신축,서울특별시 은평구 구산동 2-33,대,235.29,128.46,767.06,2021-06-07,2021-11-17,,8,1,공동주택,"다세대주택, 오피스텔, 근린생활시설",2022-10-07
신축,서울특별시 은평구 갈현동 456-25 외3필지,대,656.17,418.36,"6,265.11",2021-06-04,2022-04-29,,19,1,공동주택,역세권청년주택(공공지원민간임대주택),2022-10-07
신축,서울특별시 은평구 불광동 346-59 외2필지,대,410,244.86,999.33,2021-05-27,2022-01-20,,5,1,공동주택,도시형생활주택/사무소,2022-10-07
신축,서울특별시 은평구 수색동 307-4,대,143,79.31,285.99,2021-05-20,2022-08-24,,5,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 진관동 164-3,대,330.1,163.8,298.64,2021-05-11,2021-08-23,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 녹번동 31-36 외2필지,대,809,274.41,"2,660.75",2021-04-29,2021-06-04,,15,1,공동주택,아파트,2022-10-07
신축,서울특별시 은평구 신사동 21-14 외2필지,대,884.9,354.17,"3,412.05",2021-04-21,2021-12-09,,10,2,공동주택,"근린생활시설,오피스텔,아파트",2022-10-07
신축,서울특별시 은평구 구산동 177-53 외1필지,대,347,202.7,792.79,2021-04-06,2021-10-05,,5,1,공동주택,다세대주택(공공임대주택),2022-10-07
신축,서울특별시 은평구 갈현동 12-47,대,179,106.44,335.33,2021-03-31,2021-11-26,,5,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 불광동 471-24,대,167.07,99.67,291.69,2021-02-09,2021-09-09,,3,1,제1종근린생활시설,마을회관,2022-10-07
신축,서울특별시 은평구 구산동 177-104 외5필지,대,825.3,476.91,"1,996.78",2021-02-08,2021-04-13,,5,2,공동주택,다세대주택 (도시형생활주택 원룸형),2022-10-07
신축,서울특별시 은평구 신사동 237-153 외1필지,대,173.12,103.52,322.5,2021-01-30,2022-01-24,,3,1,단독주택,다가구 주택 및 제1종근린생활시설,2022-10-07
신축,서울특별시 은평구 응암동 197-27,대,218,130.04,422.22,2021-01-28,2022-03-10,,5,0,공동주택,"다세대주택, 제2종 근린생활시설",2022-10-07
신축,서울특별시 은평구 진관동 산 100-23,대,"3,352.40","1,427.55","17,541.43",2020-12-30,2021-03-18,,10,4,업무시설,"업무시설 및 교육연구시설, 운동시설",2022-10-07
신축,서울특별시 은평구 갈현동 228-57,대,152,90.27,286.11,2020-12-21,2021-03-04,,3,1,단독주택,다가구 주택,2022-10-07
신축,서울특별시 은평구 갈현동 523-22,대,132.67,79.54,144.23,2020-10-16,2021-05-28,,2,0,단독주택,제1종 근린생활시설,2022-10-07
신축,서울특별시 은평구 응암동 750-7 외1필지,대,131.2,67.04,222.11,2020-10-14,2021-06-16,,4,0,제1종근린생활시설,"소매점 및 휴게음식점, 제2종근린생활시설 일반음식점",2022-10-07
