건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
신축,서울특별시 마포구 망원동 380-39,대,148.8,89.08,296.82,2022-08-29,,4,0,12.1,1,제2종근린생활시설,일반음식점 사무소,
신축,서울특별시 마포구 망원동 425-12,대,147,88.09,293.21,2022-08-10,,4,0,13.1,1,단독주택,다중주택사무소,
증축,서울특별시 마포구 연남동 487-225,대,149,89.4,309.89,2022-07-29,,3,1,9.7,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 성산동 95-14,답,991.24,532.46,1692.0,2022-06-21,,5,0,20.9,1,업무시설,공공업무시설,
신축,서울특별시 마포구 도화동 201-56,대,275.1,164,440.35,2022-11-11,,5,0,16.5,1,공동주택,근린생활주택 및 단지형다세대주택,
신축,서울특별시 마포구 연남동 504-15,대,129.15,77.29,328,2022-08-31,,4,1,14.8,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 신공덕동 139-29,대,112,66.48,235.51,2022-10-14,,4,1,17.48,1,단독주택,다가구주택,
증축,서울특별시 마포구 연남동 515-10,대,164.35,97.96,416.41,2022-07-06,,4,1,13.2,1,제2종근린생활시설,사우실,
신축,서울특별시 마포구 동교동 113-32,대,148,88.75,333.57,2022-08-10,,4,1,14.13,1,제2종근린생활시설,휴게음식점,
대수선,서울특별시 마포구 용강동 494-49,대,202,101.7,498.94,2022-07-18,,4,1,15.1,1,제1종근린생활시설,제2종근린생활시설,
신축,서울특별시 마포구 서교동 351-19 외3필지,대,652.3,362.71,3440.95,2022-07-11,,14,1,55.3,1,업무시설,근린생활시설/공동주택,
신축,서울특별시 마포구 신공덕동 2-288 외1필지,대,162.99,97.01,393.31,2022-10-11,,5,1,16.96,2,제2종근린생활시설,사무소,
신축,서울특별시 마포구 상수동 341-15 외1필지,대,253.22,151.22,478.83,2022-07-20,,5,0,14.3,1,공동주택,다세대주택(16세대),
신축,서울특별시 마포구 용강동 494-54,대,245,146.89,486.31,2022-06-03,,6,0,19.3,1,공동주택,도시형생활주택(단지형다세대14세대),
대수선,서울특별시 마포구 신공덕동 2-348 외3필지,대,228.5,101.76,552.91,2022-05-27,,5,1,14.85,1,제2종근린생활시설,,
신축,서울특별시 마포구 성산동 246-10,대,90.84,54.36,154.39,2022-07-28,,4,0,13.05,1,단독주택,다가구주택,
신축,서울특별시 마포구 서교동 458-8,대,324.6,134.06,869.95,2022-06-23,,5,1,17.3,1,제2종근린생활시설,,
신축,서울특별시 마포구 신수동 93-9,대,162,96.47,323.48,2022-07-13,,5,0,19.54,1,제1종근린생활시설,,
신축,서울특별시 마포구 신수동 93-10,대,165,97.71,349.94,2022-07-13,,5,0,19.54,1,제1종근린생활시설,,
신축,서울특별시 마포구 신수동 93-10,대,165,97.71,348.04,2022-07-13,,5,0,19.54,1,제1종근린생활시설,,
신축,서울특별시 마포구 신수동 93-10,대,165,91.83,328.04,2022-07-13,,5,0,19.54,1,제1종근린생활시설,,
신축,서울특별시 마포구 신수동 93-10,대,96,54.36,205.52,2022-08-02,,5,0,19.54,1,제1종근린생활시설,,
신축,서울특별시 마포구 신수동 93-10,대,161.9,94.68,322.14,2022-08-05,,5,0,17.79,1,제1종근린생활시설,,
신축,서울특별시 마포구 합정동 429-17,대,329.3,194.93,849.97,2022-07-26,,5,1,18,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 성산동 278-19,대,182.22,109.05,322.45,2022-08-09,,5,0,14.25,1,공동주택,다세대주택(8세대),
대수선,서울특별시 마포구 연남동 259-4 외1필지,대,393.3,183.34,1050.9,2022-07-07,,7,1,21.9,1,제2종근린생활시설,휴게음식점,
신축,서울특별시 마포구 합정동 390-2,대,101.5,60.1,199.9,2022-05-20,,4,0,12.3,1,제1종근린생활시설,,
증축,서울특별시 마포구 합정동 435-19,대,129.8,76.68,296.55,2022-06-22,,4,1,12.1,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 연남동 245-29,대,112.48,67.2,199.83,2022-07-13,,3,0,8.8,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 연남동 565-38,대,266.79,124.42,696.14,2022-07-13,,5,1,19.2,1,제2종근린생활시설,사무소,
대수선,서울특별시 마포구 아현동 347-16,대,235.6,118.47,708.22,2022-06-10,,5,1,17.1,1,제2종근린생활시설,휴게음식점),
신축,서울특별시 마포구 상암동 34-104,대,159,79.24,373.17,2022-07-08,,5,0,18,1,제2종근린생활시설,주택,
대수선,서울특별시 마포구 합정동 370-39,대,146.8,86.02,363.5,2022-04-20,,3,1,12.7,1,제2종근린생활시설,,
증축,서울특별시 마포구 동교동 113-22,대,199.4,112.2,438.84,2022-04-27,,4,1,16,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 망원동 403-14,대,134.78,80.5,310.5,2022-06-02,,4,1,14.17,1,제2종근린생활시설,일반음식점사무소,
신축,서울특별시 마포구 상암동 2-304,대,134,66.99,333.45,2022-08-30,,5,0,22,1,제2종근린생활시설,,
신축,서울특별시 마포구 연남동 375-115,대,55.55,29.8,108.4,2022-05-30,,4,0,8.93,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 상암동 6-1,대,923,446.09,4424.09,2022-09-30,,8,3,35.6,1,업무시설,업무시설,
대수선,서울특별시 마포구 망원동 57-233,대,79,44.7,130.8,2022-07-22,,2,1,6.5,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 상수동 340-5 외1필지,대,255.8,152.57,492.46,2022-06-10,,5,0,16.2,1,공동주택,다세대주택(14세대)/2종근린생활시설(사무소),
신축,서울특별시 마포구 용강동 146-1 외1필지,대,311,180.77,621.86,2022-05-09,,5,0,14.9,1,공동주택,다세대주택(도시형생활주택원룸형),
신축,서울특별시 마포구 연남동 564-3,대,202,117.1,535.2,2022-09-08,,5,1,17.8,1,제2종근린생활시설,일반음식점사무소,
신축,서울특별시 마포구 서교동 446-14,대,158.86,93.97,411.74,2022-06-22,,5,1,19.16,1,제2종근린생활시설,,
대수선,서울특별시 마포구 서교동 363-22,대,286.9,159.96,900.82,2022-04-26,,5,2,18.27,1,제2종근린생활시설,,
신축,서울특별시 마포구 망원동 386-8,대,154.4,74.22,131.88,2022-04-22,,2,0,7.3,1,제2종근린생활시설,사진관 사무소,
신축,서울특별시 마포구 망원동 386-7,대,138.8,69.36,196.32,2022-04-22,,4,0,12,1,단독주택,단독주택(단독주택),
증축,서울특별시 마포구 망원동 376-25,대,121.6,68.64,247.14,2022-03-29,,3,1,10.2,1,제2종근린생활시설,제2종근린생활시설(사무소),
