시군구,대지위치,연면적(제곱미터),주용도 변환,주용도,착공처리일,준공예정일(사용승인예정일),지번주소,건축면적,위도,경도
강남구,서울특별시 강남구 삼성동 143-11,1999,업무시설,업무시설,2022-05-24,2023-07-30,삼성동 143-11,,37.5071351,127.053816
강남구,서울특별시 강남구 역삼동 728-18,1102,근린생활시설,제2종근린생활시설,2022-05-23,2023-06-30,역삼동 728-18,,37.4976758,127.0401767
강남구,서울특별시 강남구 논현동 80-20 외1필지,2069,근린생활시설,제1종근린생활시설,2022-05-23,2023-09-01,논현동 80-20,,37.5161553,127.0300093
강남구,서울특별시 강남구 논현동 217-6,457,근린생활시설,제2종근린생활시설,2022-05-23,2023-05-14,논현동 217-6,,37.5121865,127.0328036
강남구,서울특별시 강남구 대치동 914-3,515,주택,단독주택,2022-05-20,2023-02-10,대치동 914-3,,37.5018517,127.0575742
강남구,서울특별시 강남구 대치동 913-1,1083,편의시설,교육연구시설,2022-05-20,2023-02-28,대치동 913-1,,37.5019523,127.0582165
강남구,서울특별시 강남구 자곡동 223-15,375,주택,단독주택,2022-05-20,2022-12-31,자곡동 223-15,,37.4819415,127.1012155
강남구,서울특별시 강남구 신사동 524-3,719,근린생활시설,제1종근린생활시설,2022-05-19,2023-05-23,신사동 524-3,,37.5216613,127.021243
강남구,서울특별시 강남구 논현동 219-11,713,근린생활시설,제2종근린생활시설,2022-05-19,2022-12-31,논현동 219-11,,37.5118864,127.0341196
강남구,서울특별시 강남구 자곡동 456,200,주택,단독주택,2022-05-18,2023-12-30,자곡동 456,,37.4741715,127.0982424
강남구,서울특별시 강남구 역삼동 674-42,719,근린생활시설,제2종근린생활시설,2022-05-18,2023-04-30,역삼동 674-42,,37.5052367,127.0404237
강남구,서울특별시 강남구 신사동 561-3 외4필지,5067,주택,공동주택,2022-05-17,2024-02-10,신사동 561-3,,37.5195649,127.0252071
강남구,서울특별시 강남구 논현동 57-3,589,근린생활시설,제2종근린생활시설,2022-05-16,2023-03-30,논현동 57-3,,37.5135232,127.0269315
